time,open,high,low,close,volume 
2020-12-08 07:52:00,123.33,123.34,123.33,123.33,946
2020-12-08 07:51:00,123.32,123.33,123.32,123.33,7007
2020-12-08 07:50:00,123.3,123.3,123.3,123.3,625
2020-12-08 07:49:00,123.31,123.31,123.3,123.3,689
2020-12-08 07:48:00,123.31,123.32,123.31,123.32,940
2020-12-08 07:47:00,123.27,123.3,123.27,123.3,470
2020-12-08 07:45:00,123.32,123.32,123.32,123.32,419
2020-12-08 07:44:00,123.28,123.28,123.28,123.28,619
2020-12-08 07:43:00,123.25,123.25,123.25,123.25,390
2020-12-08 07:42:00,123.27,123.27,123.27,123.27,341
2020-12-08 07:41:00,123.27,123.27,123.25,123.25,1597
2020-12-08 07:39:00,123.27,123.27,123.25,123.25,1208
2020-12-08 07:38:00,123.29,123.3,123.29,123.3,396
2020-12-08 07:37:00,123.26,123.26,123.24,123.24,1188
2020-12-08 07:35:00,123.25,123.31,123.21,123.3,6726
2020-12-08 07:34:00,123.25,123.25,123.2,123.2,2430
2020-12-08 07:33:00,123.26,123.27,123.25,123.27,4035
2020-12-08 07:32:00,123.26,123.26,123.26,123.26,246
2020-12-08 07:31:00,123.32,123.32,123.25,123.26,3959
2020-12-08 07:29:00,123.32,123.33,123.31,123.33,851
2020-12-08 07:27:00,123.35,123.35,123.35,123.35,253
2020-12-08 07:26:00,123.3,123.36,123.3,123.36,2068
2020-12-08 07:25:00,123.28,123.28,123.28,123.28,459
2020-12-08 07:24:00,123.29,123.29,123.29,123.29,232
2020-12-08 07:22:00,123.29,123.29,123.26,123.26,1354
2020-12-08 07:21:00,123.28,123.28,123.28,123.28,485
2020-12-08 07:19:00,123.28,123.3,123.28,123.28,1775
2020-12-08 07:18:00,123.27,123.3,123.27,123.3,8118
2020-12-08 07:16:00,123.27,123.28,123.27,123.28,675
2020-12-08 07:15:00,123.27,123.27,123.27,123.27,959
2020-12-08 07:14:00,123.3,123.3,123.3,123.3,1446
2020-12-08 07:13:00,123.27,123.27,123.27,123.27,981
2020-12-08 07:10:00,123.27,123.27,123.26,123.26,986
2020-12-08 07:09:00,123.25,123.3,123.25,123.27,4599
2020-12-08 07:07:00,123.23,123.23,123.23,123.23,485
2020-12-08 07:06:00,123.3,123.3,123.25,123.25,2690
2020-12-08 07:05:00,123.36,123.36,123.3,123.3,3912
2020-12-08 07:04:00,123.3,123.36,123.3,123.36,1900
2020-12-08 07:03:00,123.3,123.39,123.25,123.25,4241
2020-12-08 07:02:00,123.28,123.34,123.28,123.31,6841
2020-12-08 07:01:00,122.99,123.29,122.99,123.18,13558
2020-12-08 07:00:00,123.11,123.11,123.0,123.0,3092
2020-12-08 06:59:00,123.2,123.2,123.12,123.13,2606
2020-12-08 06:58:00,123.23,123.23,123.23,123.23,460
2020-12-08 06:56:00,123.22,123.35,123.22,123.33,1359
2020-12-08 06:53:00,123.21,123.34,123.21,123.34,2022
2020-12-08 06:52:00,123.2,123.2,123.2,123.2,278
2020-12-08 06:51:00,123.35,123.35,123.25,123.25,1894
2020-12-08 06:50:00,123.46,123.46,123.4,123.4,2767
2020-12-08 06:43:00,123.52,123.52,123.52,123.52,483
2020-12-08 06:41:00,123.55,123.55,123.55,123.55,302
2020-12-08 06:40:00,123.55,123.55,123.55,123.55,689
2020-12-08 06:38:00,123.47,123.58,123.46,123.58,1235
2020-12-08 06:37:00,123.46,123.46,123.46,123.46,280
2020-12-08 06:32:00,123.58,123.58,123.58,123.58,640
2020-12-08 06:31:00,123.6,123.6,123.58,123.58,1208
2020-12-08 06:30:00,123.58,123.58,123.58,123.58,566
2020-12-08 06:29:00,123.55,123.55,123.55,123.55,398
2020-12-08 06:28:00,123.5,123.5,123.5,123.5,315
2020-12-08 06:25:00,123.41,123.41,123.4,123.4,206
2020-12-08 06:20:00,123.36,123.36,123.36,123.36,201
2020-12-08 06:19:00,123.4,123.4,123.4,123.4,248
2020-12-08 06:16:00,123.46,123.46,123.46,123.46,474
2020-12-08 06:15:00,123.46,123.46,123.46,123.46,190
2020-12-08 06:14:00,123.48,123.56,123.48,123.56,820
2020-12-08 06:12:00,123.37,123.37,123.37,123.37,311
2020-12-08 06:10:00,123.48,123.48,123.28,123.31,1349
2020-12-08 06:09:00,123.51,123.51,123.5,123.5,2918
2020-12-08 06:08:00,123.55,123.55,123.55,123.55,101
2020-12-08 06:05:00,123.6,123.6,123.6,123.6,300
2020-12-08 06:03:00,123.55,123.55,123.54,123.54,558
2020-12-08 06:02:00,123.58,123.58,123.58,123.58,190
2020-12-08 05:48:00,123.54,123.54,123.54,123.54,600
2020-12-08 05:45:00,123.51,123.51,123.51,123.51,600
2020-12-08 05:42:00,123.59,123.59,123.59,123.59,1174
2020-12-08 05:39:00,123.41,123.41,123.41,123.41,925
2020-12-08 05:35:00,123.41,123.41,123.41,123.41,731
2020-12-08 05:34:00,123.42,123.42,123.42,123.42,116
2020-12-08 05:32:00,123.4,123.45,123.4,123.45,616
2020-12-08 05:28:00,123.33,123.33,123.33,123.33,702
2020-12-08 05:25:00,123.3,123.3,123.3,123.3,3463
2020-12-08 05:24:00,123.32,123.32,123.3,123.3,1174
2020-12-08 05:21:00,123.4,123.4,123.4,123.4,498
2020-12-08 05:17:00,123.39,123.39,123.39,123.39,360
2020-12-08 05:16:00,123.38,123.38,123.38,123.38,4233
2020-12-08 05:14:00,123.47,123.47,123.45,123.45,796
2020-12-08 05:09:00,123.51,123.51,123.51,123.51,389
2020-12-08 05:06:00,123.51,123.51,123.51,123.51,195
2020-12-08 05:03:00,123.54,123.54,123.54,123.54,155
2020-12-08 05:02:00,123.51,123.51,123.51,123.51,124
2020-12-08 05:01:00,123.51,123.51,123.51,123.51,474
2020-12-08 04:59:00,123.49,123.49,123.49,123.49,167
2020-12-08 04:58:00,123.45,123.45,123.45,123.45,715
2020-12-08 04:48:00,123.45,123.45,123.45,123.45,1181
2020-12-08 04:47:00,123.45,123.45,123.45,123.45,914
2020-12-08 04:46:00,123.5,123.5,123.5,123.5,458
2020-12-08 04:45:00,123.55,123.55,123.55,123.55,463
2020-12-08 04:44:00,123.55,123.55,123.55,123.55,143
2020-12-08 04:43:00,123.59,123.59,123.59,123.59,226
2020-12-08 04:42:00,123.57,123.57,123.53,123.53,918
2020-12-08 04:32:00,123.53,123.54,123.53,123.54,1477
2020-12-08 04:31:00,123.58,123.59,123.58,123.59,1262
2020-12-08 04:29:00,123.59,123.59,123.59,123.59,105
2020-12-08 04:28:00,123.6,123.6,123.56,123.56,573
2020-12-08 04:27:00,123.61,123.61,123.61,123.61,162
2020-12-08 04:26:00,123.6,123.6,123.6,123.6,609
2020-12-08 04:25:00,123.58,123.59,123.58,123.59,734
2020-12-08 04:24:00,123.65,123.65,123.65,123.65,622
2020-12-08 04:23:00,123.65,123.65,123.65,123.65,510
2020-12-08 04:21:00,123.7,123.7,123.66,123.66,534
2020-12-08 04:20:00,123.75,123.75,123.75,123.75,138
2020-12-08 04:16:00,123.77,123.77,123.77,123.77,111
2020-12-08 04:14:00,123.88,123.88,123.83,123.83,877
2020-12-08 04:12:00,123.88,123.88,123.88,123.88,571
2020-12-08 04:09:00,123.8,123.8,123.78,123.78,556
2020-12-08 04:07:00,123.78,123.78,123.78,123.78,236
2020-12-08 04:05:00,123.69,123.69,123.69,123.69,323
2020-12-08 04:04:00,123.65,123.65,123.65,123.65,265
2020-12-08 04:03:00,123.75,123.75,123.75,123.75,150
2020-12-08 04:02:00,123.73,123.73,123.73,123.73,331
2020-12-08 04:01:00,123.65,123.65,123.65,123.65,668
2020-12-07 20:00:00,123.52,123.53,123.5,123.52,4008
2020-12-07 19:59:00,123.51,123.53,123.51,123.53,4086
